Date,Module,Test_Cases,Pass_Rate,Fail_Rate,Bugs_Found,Tester
2021-01-01,Reporting,13,81.53959819657587,18.460401803424134,4,David
2021-01-02,User Management,11,85.79502905827536,14.204970941724639,1,David
2021-01-03,Authentication,15,83.22442574508008,16.775574254919917,2,Bob
2021-01-04,Reporting,63,98.59395304685145,1.4060469531485467,5,David
2021-01-05,Reporting,13,96.16240759128834,3.8375924087116573,7,David
2021-01-06,User Management,63,92.66807513020846,7.331924869791536,6,Alice
2021-01-07,Authentication,72,97.42921180375436,2.570788196245644,6,David
2021-01-08,Authentication,27,96.07344153798229,3.9265584620177094,2,Charlie
2021-01-09,Reporting,99,83.73140117772071,16.268598822279287,4,Alice
2021-01-10,Dashboard,53,97.85117996979956,2.14882003020044,9,Alice
2021-01-11,Reporting,43,90.78684483831302,9.213155161686984,7,Bob
2021-01-12,Reporting,83,96.14880310328125,3.851196896718747,11,David
2021-01-13,Reporting,71,97.92182599846987,2.0781740015301295,8,Bob
2021-01-14,Reporting,23,86.36006949943727,13.639930500562727,3,Charlie
2021-01-15,User Management,57,82.20103849055353,17.79896150944647,2,Alice
2021-01-16,Authentication,24,84.55870325083883,15.441296749161168,3,Alice
2021-01-17,User Management,81,88.54215577252512,11.45784422747488,4,Alice
2021-01-18,User Management,87,96.36029531844986,3.6397046815501426,5,Charlie
2021-01-19,User Management,96,97.21461166512687,2.785388334873133,5,Charlie
2021-01-20,Reporting,71,80.13904261062382,19.860957389376182,4,Bob
2021-01-21,Dashboard,49,90.21494605155132,9.785053948448677,3,Bob
2021-01-22,Authentication,94,88.34822006297559,11.651779937024415,8,Bob
2021-01-23,Dashboard,89,84.4421562094146,15.557843790585395,2,David
2021-01-24,User Management,91,82.39730734667366,17.602692653326343,1,Alice
2021-01-25,User Management,62,86.75230342807257,13.247696571927435,4,Alice
2021-01-26,Dashboard,33,98.85819407825039,1.141805921749608,5,Bob
2021-01-27,Dashboard,35,86.4640586404151,13.535941359584896,4,Alice
2021-01-28,Dashboard,98,90.37581243486733,9.624187565132672,3,Bob
2021-01-29,User Management,69,94.06037917790356,5.939620822096444,4,David
2021-01-30,User Management,50,87.27259204758587,12.727407952414126,8,David
2021-01-31,Authentication,38,99.43564165441921,0.5643583455807857,2,Charlie
2021-02-01,Authentication,24,99.24894589884222,0.7510541011577772,2,David
2021-02-02,User Management,54,85.03564591650728,14.964354083492722,2,Bob
2021-02-03,Dashboard,74,89.9449701178477,10.055029882152297,7,David
2021-02-04,Dashboard,98,86.0175661963354,13.982433803664605,6,Charlie
2021-02-05,Authentication,80,85.69680988754935,14.30319011245065,7,Alice
2021-02-06,User Management,18,80.73773894709066,19.262261052909338,6,Bob
2021-02-07,Authentication,97,92.19128667959794,7.808713320402063,7,Alice
2021-02-08,Authentication,10,90.05358046457724,9.946419535422763,6,Charlie
2021-02-09,Reporting,17,81.02957502499979,18.970424975000213,4,Charlie
2021-02-10,Reporting,97,85.57292928473223,14.427070715267774,2,Charlie
2021-02-11,Reporting,72,98.16531771933307,1.8346822806669252,3,Alice
2021-02-12,Dashboard,20,84.79123781333945,15.20876218666055,4,Alice
2021-02-13,User Management,90,82.89789744182445,17.102102558175545,7,Alice
2021-02-14,User Management,17,89.78905520555126,10.210944794448736,4,Alice
2021-02-15,User Management,44,99.71300908221201,0.286990917787989,3,Charlie
2021-02-16,User Management,44,84.84110543023002,15.158894569769984,2,Charlie
2021-02-17,Reporting,42,93.44271094811756,6.557289051882435,6,Bob
2021-02-18,Dashboard,14,95.23239230657435,4.767607693425646,3,Bob
2021-02-19,Dashboard,50,84.752750879848,15.247249120152006,5,Alice
2021-02-20,Reporting,37,94.5643269722372,5.435673027762803,9,David
2021-02-21,Dashboard,16,87.35566265438507,12.644337345614929,6,David
2021-02-22,Reporting,82,92.64611661187159,7.353883388128409,6,Charlie
2021-02-23,User Management,81,92.67059421521789,7.329405784782111,9,Charlie
2021-02-24,Reporting,21,90.71549368149518,9.284506318504825,4,Charlie
2021-02-25,User Management,43,81.80579540108816,18.19420459891184,9,Bob
2021-02-26,User Management,42,96.70604991178476,3.29395008821524,2,Bob
2021-02-27,Authentication,57,86.41560129943471,13.584398700565288,10,Charlie
2021-02-28,Reporting,32,83.73037020799708,16.269629792002917,6,Charlie
2021-03-01,Authentication,71,80.81550283109527,19.184497168904727,9,Charlie
2021-03-02,Reporting,97,91.81785886376484,8.18214113623516,4,David
2021-03-03,Reporting,46,93.55128723684565,6.448712763154347,1,Bob
2021-03-04,Authentication,53,80.33175657855712,19.66824342144288,6,David
2021-03-05,Authentication,95,90.24186116598563,9.758138834014375,8,David
2021-03-06,Reporting,44,84.52991550395876,15.470084496041238,6,Charlie
2021-03-07,Dashboard,74,92.903455808189,7.096544191811006,2,Charlie
2021-03-08,User Management,56,83.48732858009983,16.512671419900173,3,Alice
2021-03-09,Authentication,87,93.81875476204932,6.181245237950677,5,Alice
2021-03-10,User Management,12,87.73470692601074,12.265293073989255,3,David
2021-03-11,Dashboard,10,98.73459977473469,1.26540022526531,3,Bob
2021-03-12,Dashboard,14,82.75041888291986,17.24958111708014,5,Charlie
2021-03-13,Dashboard,99,86.82132702100517,13.178672978994825,6,Charlie
2021-03-14,Authentication,23,82.26947042481179,17.730529575188214,5,David
2021-03-15,Dashboard,36,98.49387236557126,1.5061276344287364,3,Alice
2021-03-16,Authentication,18,97.54678706761962,2.4532129323803815,5,Bob
2021-03-17,Dashboard,88,85.15883255430312,14.841167445696883,3,Alice
2021-03-18,User Management,24,93.19968092068358,6.800319079316424,3,Alice
2021-03-19,User Management,99,96.34444400402433,3.655555995975675,6,Alice
2021-03-20,Reporting,51,91.10401623198925,8.895983768010751,5,Alice
2021-03-21,User Management,86,90.59301156712013,9.40698843287987,6,Charlie
2021-03-22,Reporting,60,84.83704581800903,15.162954181990969,2,Charlie
2021-03-23,User Management,72,81.86205535611798,18.137944643882022,4,Alice
2021-03-24,Authentication,61,97.94431515906653,2.0556848409334663,7,Bob
2021-03-25,User Management,13,98.00836114326661,1.9916388567333883,6,David
2021-03-26,Reporting,32,92.66202914546535,7.337970854534646,5,Bob
2021-03-27,Reporting,24,86.78059582097401,13.219404179025986,4,Bob
2021-03-28,Dashboard,52,86.98419149225322,13.015808507746783,3,Bob
2021-03-29,Authentication,38,94.5191135774048,5.480886422595205,3,Alice
2021-03-30,User Management,45,97.94220519905154,2.0577948009484572,7,Charlie
2021-03-31,Dashboard,22,97.74172848530235,2.258271514697654,7,Bob
